
===== 시도 1 @ 2026-08-24 22:59:43 =====
  MountainCar-v0/dqn/lam0.5/seed2    5000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   10000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   15000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   20000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   25000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   30000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   35000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   40000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   45000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   50000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   55000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   60000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   65000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   70000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   75000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   80000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   85000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   90000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2   95000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed2  100000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
[완료] MountainCar-v0/dqn/lam0.5/seed2 | r' IQM -200.00 | 행동 0.0 | 성공 0.0% | 403초
